connector,pin,col,row,signal
Conn1,D4,D,4,GND
Conn1,E4,E,4,S7_TX15P
Conn1,F4,F,4,GND
Conn1,G4,G,4,RFU
Conn1,H4,H,4,GND
Conn1,J4,J,4,RFU
Conn1,K4,K,4,GND
Conn1,L4,L,4,CONN2_MODPRS#
Conn1,A5,A,5,GND
Conn1,B5,B,5,RFU
Conn1,C5,C,5,GND
Conn1,D5,D,5,S7_TX14N
Conn1,E5,E,5,GND
Conn1,F5,F,5,CONN2_MODSEL#
Conn1,G5,G,5,GND
Conn1,H5,H,5,RFU
Conn1,J5,J,5,GND
Conn1,K5,K,5,S7_RX15N
Conn1,L5,L,5,GND
Conn1,A6,A,6,GND
Conn1,B6,B,6,RFU
Conn1,C6,C,6,GND
Conn1,D6,D,6,S7_TX14P
Conn1,E6,E,6,GND
Conn1,F6,F,6,CONN2_RESET#
Conn1,G6,G,6,GND
Conn1,H6,H,6,RFU
Conn1,J6,J,6,GND
Conn1,K6,K,6,S7_RX15P
Conn1,L6,L,6,GND
Conn1,A7,A,7,RFU
Conn1,B7,B,7,GND
Conn1,C7,C,7,RFU
Conn1,D7,D,7,GND
Conn1,E7,E,7,S7_TX13N
Conn1,F7,F,7,GND
Conn1,G7,G,7,RFU
Conn1,H7,H,7,GND
Conn1,J7,J,7,S7_RX13N
Conn1,K7,K,7,GND
Conn1,L7,L,7,S7_RX14N
Conn1,A8,A,8,RFU
Conn1,B8,B,8,GND
Conn1,C8,C,8,RFU
Conn1,D8,D,8,GND
Conn1,E8,E,8,S7_TX13P
Conn1,F8,F,8,GND
Conn1,G8,G,8,RFU
Conn1,H8,H,8,GND
Conn1,J8,J,8,S7_RX13P
Conn1,K8,K,8,GND
Conn1,L8,L,8,S7_RX14P
Conn1,A9,A,9,GND
Conn1,B9,B,9,S7_TX7N
Conn1,C9,C,9,GND
Conn1,D9,D,9,S7_TX12N
Conn1,E9,E,9,GND
Conn1,F9,F,9,CONN2_GREEN_LED
Conn1,G9,G,9,GND
Conn1,H9,H,9,S7_RX7N
Conn1,J9,J,9,GND
Conn1,K9,K,9,S7_RX12N
Conn1,L9,L,9,GND
Conn1,A10,A,10,GND
Conn1,B10,B,10,S7_TX7P
Conn1,C10,C,10,GND
Conn1,D10,D,10,S7_TX12P
Conn1,E10,E,10,GND
Conn1,F10,F,10,CONN2_YELLOW_LED
Conn1,G10,G,10,GND
Conn1,H10,H,10,S7_RX7P
Conn1,J10,J,10,GND
Conn1,K10,K,10,S7_RX12P
Conn1,L10,L,10,GND
Conn1,A11,A,11,S7_TX5N
Conn1,B11,B,11,GND
Conn1,C11,C,11,S7_TX6N
Conn1,D11,D,11,GND
Conn1,E11,E,11,S7_TX11N
Conn1,F11,F,11,GND
